No;X1;X2;X3;X4
1;12/12/80;15/10/20;15/10/20;B
2;13/05/81;24/07/14;24/07/14;B
3;11/10/05;NA;18/11/22;A
4;09/01/94;13/03/13;13/03/13;B
5;19/11/89;14/05/12;14/05/12;B
6;11/08/93;NA;18/11/22;A
7;24/03/93;17/06/15;17/06/15;B
8;22/09/03;NA;18/11/22;A
9;13/02/06;NA;18/11/22;A
10;03/05/91;09/05/16;09/05/16;B
11;20/11/84;29/04/14;29/04/14;B
12;17/01/82;17/07/08;17/07/08;B
13;01/09/97;NA;18/11/22;A
14;20/10/97;13/03/19;13/03/19;B
15;02/12/93;07/02/18;07/02/18;B
16;15/03/03;NA;18/11/22;A
17;18/11/96;NA;18/11/22;A
18;16/10/00;NA;18/11/22;A
19;04/09/97;NA;18/11/22;A
20;08/07/05;NA;18/11/22;A
21;14/11/86;09/06/22;09/06/22;A
22;18/05/83;31/08/09;31/08/09;B
23;09/10/86;NA;18/11/22;A
24;09/07/03;NA;18/11/22;A
25;27/12/92;NA;18/11/22;A
26;26/04/90;13/06/10;13/06/10;B
27;31/10/93;04/05/22;04/05/22;A
28;05/10/02;NA;18/11/22;A
29;05/06/96;29/10/22;29/10/22;A
30;31/08/02;NA;18/11/22;B
31;28/09/03;NA;18/11/22;A
32;28/12/94;18/03/18;18/03/18;B
33;15/10/92;NA;18/11/22;A
34;28/09/83;27/07/03;27/07/03;B
35;16/02/05;NA;18/11/22;A
36;12/01/89;19/07/14;19/07/14;B
37;03/08/92;12/11/19;12/11/19;B
38;15/11/99;NA;18/11/22;A
39;13/04/85;03/05/11;03/05/11;B
40;30/04/04;NA;18/11/22;A
41;28/02/86;21/05/15;21/05/15;B
42;22/08/05;NA;18/11/22;A
43;02/01/95;09/10/17;09/10/17;B
44;09/05/02;NA;18/11/22;A
45;30/10/01;NA;18/11/22;A
46;21/03/83;08/03/11;08/03/11;B
47;19/01/06;NA;18/11/22;A
48;24/03/03;NA;18/11/22;A
49;02/05/84;25/07/21;25/07/21;B
50;11/06/06;NA;18/11/22;A
51;24/09/86;02/01/10;02/01/10;B
52;30/04/84;15/10/08;15/10/08;B
53;27/05/86;22/02/20;22/02/20;B
54;05/12/86;21/05/15;21/05/15;B
55;15/02/92;04/05/11;04/05/11;B
56;21/10/83;07/10/21;07/10/21;B
57;20/04/83;21/04/09;21/04/09;B
58;07/04/05;NA;18/11/22;B
59;23/08/89;NA;18/11/22;B
60;19/03/07;NA;18/11/22;A
61;19/04/00;NA;18/11/22;A
62;15/01/06;NA;18/11/22;A
63;15/07/83;28/10/20;28/10/20;B
64;02/01/90;02/08/20;02/08/20;B
65;26/10/00;25/06/20;25/06/20;B
66;30/09/95;05/02/15;05/02/15;B
67;04/03/03;NA;18/11/22;A
68;26/12/92;NA;18/11/22;A
69;19/06/02;NA;18/11/22;A
70;15/08/93;NA;18/11/22;A
71;03/12/00;NA;18/11/22;A
72;29/09/05;NA;18/11/22;B
73;14/02/98;NA;18/11/22;A
74;01/05/90;NA;18/11/22;A
75;18/12/03;NA;18/11/22;A
76;03/03/98;30/07/22;30/07/22;A
77;08/02/84;29/07/08;29/07/08;B
78;13/05/03;NA;18/11/22;A
79;25/06/08;NA;18/11/22;A
80;07/10/82;11/03/19;11/03/19;B
81;17/05/03;NA;18/11/22;A
82;15/10/03;NA;18/11/22;B
83;17/05/00;NA;18/11/22;A
84;26/07/90;05/06/10;05/06/10;B
85;12/09/04;NA;18/11/22;A
86;14/09/89;05/11/11;05/11/11;B
87;23/07/92;NA;18/11/22;A
88;15/07/86;14/07/11;14/07/11;B
89;10/02/97;31/01/19;31/01/19;B
90;28/01/91;25/02/15;25/02/15;B
91;24/06/82;11/02/05;11/02/05;B
92;13/12/02;NA;18/11/22;A
93;18/04/03;NA;18/11/22;A
94;01/01/93;21/05/22;21/05/22;A
95;16/10/92;NA;18/11/22;A
96;29/08/03;NA;18/11/22;A
97;17/07/82;27/06/14;27/06/14;B
98;07/02/07;NA;18/11/22;A
99;27/05/89;28/08/10;28/08/10;B
100;17/09/84;18/07/07;18/07/07;B
101;20/09/98;19/12/17;19/12/17;B
102;02/10/90;15/05/14;15/05/14;B
103;17/04/04;NA;18/11/22;B
104;15/10/84;07/04/21;07/04/21;B
105;07/11/07;NA;18/11/22;A
106;06/01/87;17/09/17;17/09/17;B
107;03/05/08;NA;18/11/22;A
108;26/02/88;02/01/11;02/01/11;B
109;25/08/84;15/09/13;15/09/13;B
110;06/10/89;NA;18/11/22;A
111;12/06/84;07/02/19;07/02/19;B
112;25/01/82;09/02/11;09/02/11;B
113;27/08/84;14/11/21;14/11/21;B
114;18/08/98;NA;18/11/22;A
115;03/07/00;NA;18/11/22;A
116;07/09/00;NA;18/11/22;B
117;21/10/84;14/05/08;14/05/08;B
118;23/09/84;25/10/10;25/10/10;B
119;10/03/96;18/02/22;18/02/22;B
120;24/09/07;NA;18/11/22;B
121;05/07/01;NA;18/11/22;A